startup,industry,funding_stage,amount_usd,description,year_found,founders,investors,funding_year,city,state,country
TheCollegeFever,Media & Entertainment,Early Traction,250000.0,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Happy Cow Dairy,Agriculture,Early Traction,584000.0,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
MyLoanCare,Financial Services,Scaling,949000.0,Leading Online Loans Marketplace in India,2017.0,Not recorded,Not recorded,2018,Gurugram,Haryana,India
PayMe India,Financial Services,Validation,2000000.0,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2017.0,Not recorded,Not recorded,2018,Noida,Uttar Pradesh,India
Eunimart,Online Retail,Early Traction,3000000.0,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2017.0,Not recorded,Not recorded,2018,Hyderabad,Telangana,India
Hasura,IT & Technology,Early Traction,1600000.0,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Tripshelf,IT & Technology,Early Traction,233600.0,Tripshelf is an online market place for holiday packages.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Hyperdata.IO,Business Services,Validation,730000.0,Hyperdata combines advanced machine learning with human intelligence.,2017.0,Not recorded,Not recorded,2018,Hyderabad,Telangana,India
Freightwalla,IT & Technology,Early Traction,3000000.0,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Microchip Payments,IT & Technology,Early Traction,3000000.0,Microchip payments is a mobile-based payment application and point-of-sale device,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
BizCrum Infotech Pvt. Ltd.,Business Services,Early Traction,3000000.0,Building Transactionary B2B Marketplaces,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Emojifi,IT & Technology,Early Traction,3000000.0,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Flock,IT & Technology,Early Traction,3000000.0,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2017.0,Not recorded,Not recorded,2018,Not Recorded,Not Recorded,India
Freshboxx,Transportation & Logistics,Early Traction,3000000.0,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2017.0,Not recorded,Not recorded,2018,Hubballi,Karnataka,India
Wide Mobility Mechatronics,Manufacturing,Early Traction,3000000.0,Wide Mobility Mechatronics is a Private Company limited by Shares,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Pitstop,Manufacturing,Early Traction,1460000.0,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
Mihuru,Financial Services,Early Traction,150000.0,Mihuru is an online platform which gives micro loans for air travel .,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Fyle,Business Services,Early Traction,1100000.0,Fyle is an intelligent expense management platform for enterprises.,2017.0,Not recorded,Not recorded,2018,Bengaluru,Karnataka,India
AppWharf,IT & Technology,Early Traction,3000000.0,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
Antariksh Waste Ventures Pvt ltd,IT & Technology,Early Traction,7300.0,Waste Management for Smart Cities,2017.0,Not recorded,Not recorded,2018,Chennai,Tamil Nadu,India
Cogoport,Transportation & Logistics,Scaling,6000000.0,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
PaisaDukan,Financial Services,Early Traction,650000.0,A P2P lending marketplace platform,2017.0,Not recorded,Not recorded,2018,Mumbai,Maharashtra,India
Sleepy Owl Coffee,Consumer Goods,Early Traction,511000.0,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
BlueJack,Manufacturing,Early Traction,934400.0,Delhi-based online used vehicles marketplace.,2017.0,Not recorded,Not recorded,2018,NCT Delhi,National Capital Territory,India
